stop_id_a,stop_id_b,distance
8591986,8592028,415.0902
8591986,8592024,491.25095
8591986,8592061,180.70842
8591986,8592039,467.0395
8591986,8595933,427.38824
8591986,8501075,358.8386
8592009,8592045,318.90875
8592009,8592051,494.92682
8592009,8592129,402.79764
8592009,8591981,209.74693
8592009,8592083,211.63174
8592009,8592012,485.4564
8592009,8510574,378.34778
8592009,8592074,303.04642
8592009,8592043,427.7621
8592009,8592123,329.24603
8592009,8592038,242.38878
8592055,8592089,72.95323
8592055,8592019,431.10898
8592055,8595004,124.979034
8592055,8587357,278.33017
8592055,8593249,235.78618
8592055,8592092,235.45016
8592068,8593837,79.180855
8592068,8595934,486.18573
8592068,8592080,261.03314
8592068,8593838,137.39127
8592068,8595938,346.59137
8592068,8591995,484.74738
8592068,8592044,408.53085
8592068,8595935,308.21506
8592106,8593844,177.72801
8592106,8501208,172.30966
8592106,8592080,383.67322
8592106,8592021,144.50392
8592106,8501207,406.7897
8592106,8592105,312.05466
8592119,8592035,332.29892
8592119,8592102,425.10046
8592119,8591980,108.10055
8592119,8592041,475.235
8592119,8592078,416.95163
8592119,8592109,185.1725
8592119,8592032,341.83328
8592119,8592104,341.22464
8592119,8591992,395.1253
8592119,8591984,450.4673
8592119,8592022,430.2847
8592119,8592036,336.38852
8592149,Parent8504010,149.11035
8592149,8504010:0:2,188.75174
8592149,8504010:0:1,182.00235
8592149,8592152,494.84393
8592149,8591976,172.03787
8592149,8504010,149.11035
8592149,8592145,479.30853
8592149,8592151,334.0222
8592149,8592157,398.13327
8592156,8592164,269.75674
8592156,8501318,62.098953
8592156,8592150,348.16565
8592156,8592160,447.51184
8592156,8592154,395.63324
8593806,8588436,223.54836
8593806,8595625,225.43234
8593806,8595190,149.75256
8593806,8593798,173.10399
8593806,8579257,344.44318
8594890,8591959,344.5935
8594890,8591956,438.71326
Parent8501122,8593861,28.987768
Parent8501122,8592164,329.13016
Parent8501122,8592155,434.60565
Parent8501122,8592162,455.84134
Parent8501122,8501122:0:2,49.162186
Parent8501122,8501122:0:1,49.31353
Parent8501122,8592160,274.04272
Parent8501122,8592154,298.81644
8501120:0:8,8501181:0:1,455.43802
8501120:0:8,Parent8501181,455.43802
8501120:0:8,8501120:0:5,0.0
8501120:0:8,8579254,441.93588
8501120:0:8,8592040,282.97427
8501120:0:8,8501120:0:3,0.0
8501120:0:8,Parent8501120,0.0
8501120:0:8,8592050:0:F,236.71092
8501120:0:8,8592050:0:H,99.84084
8501120:0:8,8579253,336.9602
8501120:0:8,8591818,406.3532
8501120:0:8,8592020,339.15115
8501120:0:8,8501120:0:70,0.0
8501120:0:8,8592027,361.37332
8501120:0:8,8501120:0:6,0.0
8501120:0:8,8592050:0:C,99.84084
8501120:0:8,8592050,99.84084
8501120:0:8,8592050:0:D,99.84084
8501120:0:8,8592072,437.97305
8501120:0:8,8501181:0:2,455.43802
8501120:0:8,8592052,208.01761
8501120:0:8,8501120:0:7,0.0
8501120:0:8,8501120:0:1,0.0
8501120:0:8,8501120,0.0
8501120:0:8,8501181,455.43802
8501120:0:8,8592079,329.20386
8501120:0:8,Parent8592050,99.84084
8501120:0:8,8501120:0:4,0.0
8501169:0:2,8570064,326.07803
8501169:0:2,Parent8501169,0.0
8501169:0:2,8501169:0:1,0.0
8501169:0:2,8570063,67.72326
8501169:0:2,8501169,0.0
8501170:0:1,8501170,0.0
8501213,8579234,456.0686
8501213,8591945,434.4321
8501213,8596053,432.8008
8501213,8591944,268.97287
8501213,8501212,496.22635
8510721,8588838,336.31314
8510721,8501218,148.48877
8510721,8530749,249.76454
8510721,8588983,382.2503
8510721,8588839,360.84464
8510721,Parent8501118,331.03482
8510721,8510421,426.55457
8510721,8593815,417.5286
8510721,8593869,267.91962
8510721,8591958,386.17877
8557141,8504758,118.057755
8557141,8595474,487.93625
8557141,8570425,419.59998
8557141,8504166,408.42664
8579260,8592161,172.52316
8579260,8588438,217.12312
8581922,8594178,460.49344
8581922,8581924,162.24199
8581922,8594177,231.48582
8581922,8581916,242.45636
8581922,8581920,490.6695
8581922,8581921,150.95569
8588432,8592023,259.6028
8588432,8592191,460.03485
8588432,8592042,449.64746
8588432,8579255,415.8453
8591930,8591935,443.39224
8591930,8591931,206.97816
8591952,8591946,498.89194
8591952,8591954,290.09195
8591952,8501215,452.5063
8591952,8591956,338.21964
8591952,8591947,127.12517
8591952,8591949,153.46494
8591952,8591951,326.66293
8592175,8592173,481.38974
8592175,8501163,84.84562
8592175,8592030,447.69797
8592175,8592192,401.30975
8592175,8592176,268.00876
8592175,8592187,346.5381
8592175,8501163:0:1,84.84562
8592178,8592208,234.75595
8592178,8592206,326.1353
8592178,8592192,350.31946
8592178,8592212,465.5866
8592178,8592207,399.55557
8592178,8592222,460.6521
8592189,8592169,295.7083
8592189,8592199,370.06903
8592189,8595191,373.59515
8592189,8592195,348.9435
8592189,8593850,438.26453
8592189,8592168,300.27652
8595939,8595934,443.85394
8595939,8591995,477.34888
8595939,8592114,420.7259
8501118:0:5,8588838,187.44075
8501118:0:5,8592209,496.62622
8501118:0:5,8501118:0:3,13.395679
8501118:0:5,8530749,262.41724
8501118:0:5,8588983,137.4605
8501118:0:5,8593866,348.18857
8501118:0:5,8588839,342.9538
8501118:0:5,8501118:0:4,5.4824514
8501118:0:5,8592202,283.5971
8501118:0:5,Parent8501118,181.70978
8501118:0:5,8510421,496.96426
8501118:0:5,8592213,430.5245
8501118:0:5,8501118:0:1,25.3291
8501118:0:5,8501118:0:2,17.00221
8501118:0:5,8593869,348.22852
8501181:0:1,8501160:0:2,424.9779
8501181:0:1,8501120:0:8,455.43802
8501181:0:1,Parent8501181,0.0
8501181:0:1,8501120:0:5,455.43802
8501181:0:1,Parent8501160,424.9779
8501181:0:1,8579254,289.19604
8501181:0:1,8501120:0:3,455.43802
8501181:0:1,Parent8501120,455.43802
8501181:0:1,8592050:0:F,422.53848
8501181:0:1,8592050:0:H,359.1886
8501181:0:1,8579253,122.82039
8501181:0:1,8590442,284.40012
8501181:0:1,8591818,54.007874
8501181:0:1,8591988,191.45209
8501181:0:1,8501120:0:70,455.43802
8501181:0:1,8592098,290.8989
8501181:0:1,8501120:0:6,455.43802
8501181:0:1,8592050:0:C,359.1886
8501181:0:1,8592133,498.9176
8501181:0:1,8592050,359.1886
